"","CustomerID","last_order","r","f","m","r_score","f_score","m_score","total_score","fm_score"
"1",12346,2011-01-18,325,1,77183.6,1,1,4,5,5
"2",12347,2011-12-07,2,7,4310,4,4,4,9,8
"3",12348,2011-09-25,75,4,1797.24,2,3,4,7,7
"4",12349,2011-11-21,18,1,1757.55,3,1,4,7,5
"5",12350,2011-02-02,310,1,334.4,1,1,2,3,3
"6",12352,2011-11-03,36,7,1665.74,3,4,4,8,8
"7",12353,2011-05-19,204,1,89,1,1,1,3,2
"8",12354,2011-04-21,232,1,1079.4,1,1,3,4,4
"9",12355,2011-05-09,214,1,459.4,1,1,2,4,3
"10",12356,2011-11-17,22,3,2811.43,3,3,4,8,7
"11",12357,2011-11-06,33,1,6207.67,3,1,4,6,5
"12",12358,2011-12-08,1,2,1168.06,4,2,3,7,5
"13",12359,2011-10-13,57,4,6310.03,2,3,4,7,7
"14",12360,2011-10-18,52,3,2662.06,2,3,4,7,7
"15",12361,2011-02-25,287,1,189.9,1,1,1,3,2
"16",12362,2011-12-06,3,10,5226.23,4,4,4,9,8
"17",12363,2011-08-22,109,2,552,2,2,2,5,4
"18",12364,2011-12-02,7,4,1313.1,4,3,3,8,6
"19",12365,2011-02-21,291,1,320.69,1,1,2,3,3
"20",12367,2011-12-05,4,1,168.9,4,1,1,5,2
"21",12370,2011-10-19,51,4,3541.94,2,3,4,7,7
"22",12371,2011-10-26,44,2,1887.96,3,2,4,7,6
"23",12372,2011-09-29,71,3,1298.04,2,3,3,7,6
"24",12373,2011-02-01,311,1,364.6,1,1,2,3,3
"25",12374,2011-11-14,25,1,742.93,3,1,3,5,4
"26",12375,2011-11-29,10,2,457.5,4,2,2,7,4
"27",12377,2011-01-28,315,2,1628.12,1,2,3,6,5
"28",12378,2011-08-02,129,1,4008.62,2,1,4,5,5
"29",12379,2011-09-19,81,2,852.24,2,2,3,6,5
"30",12380,2011-11-18,21,4,2724.81,3,3,4,8,7
"31",12381,2011-12-05,4,5,1845.31,4,3,4,9,7
"32",12383,2011-06-08,184,5,1850.56,1,3,4,7,7
"33",12384,2011-11-11,28,2,585.27,3,2,2,6,4
"34",12386,2011-01-06,337,2,401.9,1,2,2,5,4
"35",12388,2011-11-24,15,6,2780.66,4,4,4,9,8
"36",12390,2011-09-21,79,1,549.84,2,1,2,5,3
"37",12391,2011-11-18,21,1,439.66,3,1,2,6,3
"38",12393,2011-09-28,72,4,1582.6,2,3,3,7,6
"39",12394,2011-10-07,63,2,1272.48,2,2,3,7,5
"40",12395,2011-11-20,19,12,3018.63,3,4,4,9,8
"41",12397,2011-11-04,35,2,2409.9,3,2,4,7,6
"42",12398,2011-10-25,45,1,1635.66,3,1,3,6,4
"43",12399,2011-08-12,119,4,1108.65,2,3,3,5,6
"44",12401,2011-02-09,303,1,84.3,1,1,1,3,2
"45",12402,2011-01-20,323,1,225.6,1,1,1,3,2
"46",12403,2011-10-21,49,1,427.7,3,1,2,5,3
"47",12405,2011-07-14,148,1,1710.39,1,1,4,5,5
"48",12406,2011-11-17,22,2,3415.3,3,2,4,8,6
"49",12407,2011-10-21,49,5,1708.12,3,3,4,8,7
"50",12408,2011-11-07,32,5,2888.55,3,3,4,8,7
"51",12409,2011-09-22,78,3,11072.67,2,3,4,7,7
"52",12410,2011-02-04,308,2,693.33,1,2,3,5,5
"53",12412,2011-09-26,74,3,1226.88,2,3,3,7,6
"54",12413,2011-10-04,66,3,758.1,2,3,3,6,6
"55",12414,2011-05-06,217,3,562.41,1,3,2,5,5
"56",12415,2011-11-15,24,21,124914.53,3,4,4,9,8
"57",12417,2011-12-06,3,9,3649.1,4,4,4,9,8
"58",12418,2011-08-19,112,1,668.58,2,1,3,4,4
"59",12420,2011-10-07,63,1,600.39,2,1,2,5,3
"60",12421,2011-11-24,15,4,807.04,4,3,3,7,6
"61",12422,2011-09-05,95,3,803.56,2,3,3,5,6
"62",12423,2011-12-09,0,8,1859.31,4,4,4,9,8
"63",12424,2011-06-30,162,2,1760.96,1,2,4,6,6
